Mouse i.d.,age in months,mouse Strain,Tissue region,Sample Name,Dilution,7  Li   ,11  B   ,23  Na   ,24  Mg   ,27  Al   ,31  P   ,39  K   ,42  Ca   ,47  Ti   ,52  Cr   ,55  Mn   ,56  Fe   ,59  Co   ,60  Ni   ,63  Cu   ,66  Zn   ,78  Se   ,85  Rb   ,88  Sr   ,95  Mo   ,101  Ru   ,111  Cd   
3139,5,(WT),Cerebellum,32C,0.308,-0.058,0.662,5451.81,791.11,9.39,17020.08,19337.38,281.98,1.131,0.104,2.529,75.52,0.048,0.182,30.539,157.72,1.043,20.163,0.152,0.272,0.000,0.009
3181,5,(WT),Cerebellum,33C,0.218,-0.029,0.631,4959.20,761.20,6.39,16533.88,18170.11,181.17,1.080,0.122,2.197,72.18,0.041,0.151,23.249,73.35,1.013,18.322,0.078,0.258,0.001,0.004
3183,5,(WT),Cerebellum,34C,0.155,-0.024,0.489,5149.25,761.33,3.50,18304.81,17944.12,174.35,1.045,0.044,2.363,71.01,0.038,0.112,34.280,64.04,1.053,17.972,0.083,0.404,0.000,0.002
3184,5,(WT),Cerebellum,35C,0.190,0.028,0.685,4698.70,766.61,6.98,16697.01,18621.50,235.26,1.155,0.109,2.306,77.14,0.043,0.139,22.850,126.40,1.050,19.843,0.126,0.288,0.001,0.006
3185,5,(WT),Cerebellum,36C,0.256,-0.002,1.109,5016.88,761.81,3.42,16531.53,18312.08,224.98,0.932,0.012,2.177,73.56,0.044,0.113,25.326,61.81,1.074,21.213,0.117,0.215,0.001,0.003
704,9,(WT) APP/PS1 ,Cerebellum,37C,0.209,-0.011,0.559,5034.19,756.00,1.76,16997.80,18597.15,270.78,0.958,0.126,1.836,88.05,0.057,0.113,29.674,62.00,0.946,17.553,0.116,0.330,0.000,0.002
706,9,(WT) APP/PS1 ,Cerebellum,38C,0.210,0.002,0.599,4892.38,697.40,0.94,15366.96,17100.04,159.06,0.920,0.203,1.537,79.82,0.049,0.139,31.341,54.81,0.887,18.830,0.054,0.287,0.000,0.003
711,9,(WT) APP/PS1,Cerebellum,39C,0.195,-0.011,0.613,4714.28,710.37,1.84,15831.36,17172.83,240.76,0.938,0.255,2.052,77.45,0.046,0.187,30.798,56.25,0.934,18.602,0.104,0.391,0.001,0.004
712,9,(WT) APP/PS1,Cerebellum,40C,0.237,-0.037,0.695,4510.12,724.60,4.55,15887.70,18143.79,291.95,1.007,0.160,1.701,82.60,0.047,0.239,24.408,63.35,0.936,17.785,0.133,0.281,0.000,0.006
719,9,(WT) APP/PS1,Cerebellum,41C,0.208,-0.027,0.752,4571.78,702.26,0.78,15663.98,17254.54,157.96,0.947,0.063,1.529,77.94,0.049,0.784,26.709,56.14,0.969,19.281,0.059,0.291,0.001,0.003
634,9,(WT) APP/PS1,Cerebellum,42C,0.191,-0.045,0.641,4622.11,704.19,2.83,15843.25,17449.32,172.84,0.937,0.081,1.432,78.08,0.047,0.085,23.703,56.10,0.978,18.202,0.054,0.319,0.000,0.002
636,9,(WT) APP/PS1,Cerebellum,43C,0.266,-0.031,1.338,4852.30,749.16,5.87,16492.16,18258.34,181.04,1.055,0.106,2.134,83.12,0.049,0.355,31.481,61.14,1.002,21.442,0.074,0.351,0.001,0.007
675,9,(WT) APP/PS1,Cerebellum,44C,0.172,0.008,0.500,4619.89,728.59,0.91,16590.59,17916.07,173.63,0.901,0.064,1.579,80.07,0.048,0.077,27.609,57.21,1.049,19.607,0.052,0.437,0.000,0.002
633,9,APP/PS1,Cerebellum,45C,0.207,-0.022,0.612,4919.21,728.53,5.20,16110.66,17369.27,327.39,0.996,0.029,2.094,69.93,0.058,0.097,31.205,62.15,0.956,20.074,0.094,0.403,0.000,0.003
635,9,APP/PS1,Cerebellum,46C,0.124,-0.009,0.625,4695.66,703.89,0.86,18579.57,17284.42,175.86,0.971,0.188,2.048,68.03,0.050,0.083,39.073,56.54,0.973,19.906,0.063,0.459,0.000,0.001
676,9,APP/PS1,Cerebellum,47C,0.136,0.016,0.626,4646.10,709.14,0.66,18877.29,17726.54,154.19,1.017,0.145,1.858,94.71,0.050,0.070,29.025,55.09,1.115,18.529,0.056,0.357,0.000,0.002
705,9,APP/PS1,Cerebellum,48C,0.173,-0.003,0.494,4779.98,716.23,4.53,16201.35,17393.21,192.84,0.963,1.618,1.782,82.03,0.051,0.096,26.448,55.45,0.894,17.224,0.062,0.324,0.001,0.003
707,9,APP/PS1,Cerebellum,49C,0.213,0.011,0.635,4913.44,711.69,1.50,16012.63,17308.85,161.69,1.008,0.142,1.597,77.24,0.046,0.097,24.817,53.24,0.930,17.505,0.065,0.272,0.000,0.002
713,9,APP/PS1,Cerebellum,50C,0.155,-0.002,0.517,4876.47,727.87,1.75,17818.44,17283.31,217.70,0.975,0.153,2.146,74.17,0.049,0.095,30.107,56.50,0.982,19.834,0.115,0.438,0.001,0.001
718,9,APP/PS1,Cerebellum,51C,0.183,-0.007,0.654,4896.98,725.54,1.77,16268.89,17332.67,177.12,0.932,0.303,2.023,72.96,0.047,0.087,31.977,59.48,0.938,19.665,0.073,0.402,0.001,0.002
226,5,NFL,Olfactory bulb,01D,0.197,0.047,1.071,5482.26,659.00,1.48,18450.52,10648.46,8787.35,1.366,0.144,1.959,46.43,0.032,0.086,14.556,42.79,0.738,13.364,3.511,1.022,0.001,0.001
